,Timestamp,Total_Confirmed_Cases,Total_Deaths,American Market,High,Low
0,2020-01-22,557,17,IBM,145.79,142.55
1,2020-01-23,655,18,IBM,144.41,142.15
2,2020-01-24,941,26,IBM,143.92,140.46
3,2020-01-25,1433,42,IBM,,
4,2020-01-26,2118,56,IBM,,
5,2020-01-27,2927,82,IBM,140.07,138.1
6,2020-01-28,5578,131,IBM,140.47,138.75
7,2020-01-29,6167,133,IBM,139.58,137.6
8,2020-01-30,8235,171,IBM,136.97,134.97
9,2020-01-31,9927,213,IBM,144.05,140.79
10,2020-02-01,12038,259,IBM,,
11,2020-02-02,16787,362,IBM,,
12,2020-02-03,19887,426,IBM,147.28,143.9
13,2020-02-04,23898,492,IBM,149.38,146.88
14,2020-02-05,27643,564,IBM,157.44,150.15
15,2020-02-06,30803,634,IBM,158.75,155.42
16,2020-02-07,34396,719,IBM,155.54,152.92
17,2020-02-08,37130,806,IBM,,
18,2020-02-09,40160,906,IBM,,
19,2020-02-10,42769,1013,IBM,154.44,151.58
20,2020-02-11,44811,1113,IBM,155.22,152.73
21,2020-02-12,45229,1118,IBM,155.6,153.52
22,2020-02-13,60382,1371,IBM,154.83,153.41
23,2020-02-14,66909,1523,IBM,154.56,149.77
24,2020-02-15,69052,1666,IBM,,
25,2020-02-16,71235,1770,IBM,,
26,2020-02-17,73270,1868,IBM,,
27,2020-02-18,75152,2008,IBM,151.38,149.64
28,2020-02-19,75652,2123,IBM,151.89,150.31
29,2020-02-20,76212,2248,IBM,151.62,149.51
30,2020-02-21,76841,2252,IBM,151.04,148.84
31,2020-02-22,78602,2459,IBM,,
32,2020-02-23,78982,2470,IBM,,
33,2020-02-24,79546,2630,IBM,148.05,145.38
34,2020-02-25,80399,2710,IBM,147.07,141.26
35,2020-02-26,81376,2771,IBM,144.06,139.6
36,2020-02-27,82736,2814,IBM,138.69,133.01
37,2020-02-28,84122,2873,IBM,131.09,126.36
38,2020-02-29,86013,2942,IBM,,
39,2020-03-01,88394,2996,IBM,,
40,2020-03-02,90377,3085,IBM,134.44,127.95
41,2020-03-03,92971,3160,IBM,136.1,127.8
42,2020-03-04,95279,3255,IBM,134.28,129.0
43,2020-03-05,98090,3349,IBM,132.29,128.45
44,2020-03-06,102003,3460,IBM,128.33,124.52
45,2020-03-07,106098,3564,IBM,,
46,2020-03-08,110047,3803,IBM,,
47,2020-03-09,114219,3993,IBM,122.41,117.28
48,2020-03-10,119041,4267,IBM,124.88,115.76
49,2020-03-11,126702,4611,IBM,122.58,116.38
50,2020-03-12,132492,4917,IBM,109.8,102.28
51,2020-03-13,146876,5414,IBM,109.16,100.81
52,2020-03-14,157950,5834,IBM,,
53,2020-03-15,169219,6475,IBM,,
54,2020-03-16,184027,7153,IBM,107.41,95.0
55,2020-03-17,199970,7967,IBM,107.4,97.1
56,2020-03-18,219535,8874,IBM,106.93,99.4
57,2020-03-19,246584,9985,IBM,103.69,98.24
58,2020-03-20,277359,11470,IBM,100.99,94.71
59,2020-03-21,309350,13192,IBM,,
60,2020-03-22,344205,14877,IBM,,
61,2020-03-23,387040,16826,IBM,97.74,90.56
62,2020-03-24,428219,19116,IBM,106.04,99.26
63,2020-03-25,479220,21926,IBM,112.48,102.83
64,2020-03-26,542097,24962,IBM,113.15,105.57
65,2020-03-27,607138,28450,IBM,111.5,107.65
66,2020-03-28,674418,32180,IBM,,
67,2020-03-29,733655,35699,IBM,,
68,2020-03-30,798949,39780,IBM,113.46,107.81
69,2020-03-31,875794,44528,IBM,113.81,110.17
70,2020-04-01,958586,50527,IBM,109.92,104.52
71,2020-04-02,1041649,56414,IBM,110.32,105.14
72,2020-04-03,1125200,62574,IBM,110.07,104.92
73,2020-04-04,1183589,68490,IBM,,
74,2020-04-05,1256181,73676,IBM,,
75,2020-04-06,1329324,79614,IBM,115.63,110.13
76,2020-04-07,1399153,87875,IBM,119.57,114.87
77,2020-04-08,1482508,94681,IBM,119.96,115.07
78,2020-04-09,1569527,102464,IBM,122.92,120.17
79,2020-04-10,1655062,109842,IBM,,
80,2020-04-11,1729373,116015,IBM,,
81,2020-04-12,1849067,121873,IBM,,
82,2020-04-13,1919799,127843,IBM,121.8,118.04
83,2020-04-14,2003766,134812,IBM,125.18,122.62
84,2020-04-15,2080914,143278,IBM,120.19,116.76
85,2020-04-16,2176465,150537,IBM,119.75,114.42
86,2020-04-17,2264462,158930,IBM,120.39,117.92
87,2020-04-18,2341702,165082,IBM,,
88,2020-04-19,2418307,170314,IBM,,
89,2020-04-20,2494325,176188,IBM,122.86,118.14
90,2020-04-21,2570074,183463,IBM,117.15,112.06
91,2020-04-22,2651321,190319,IBM,120.33,117.55
92,2020-04-23,2735570,197152,IBM,123.03,119.12
93,2020-04-24,2819666,203920,IBM,125.0,120.76
94,2020-04-25,2901924,209547,IBM,,
95,2020-04-26,2973512,213526,IBM,,
96,2020-04-27,3043704,218271,IBM,126.99,125.47
97,2020-04-28,3119244,224852,IBM,128.2,125.38
98,2020-04-29,3196354,231572,IBM,129.31,127.53
99,2020-04-30,3279849,237415,IBM,127.27,125.22
100,2020-05-01,3368225,242562,IBM,123.47,121.39
101,2020-05-02,3447425,248058,IBM,,
102,2020-05-03,3523798,251567,IBM,,
103,2020-05-04,3601487,255778,IBM,121.97,119.39
104,2020-05-05,3681989,261605,IBM,124.32,122.47
105,2020-05-06,3772016,268107,IBM,124.05,122.41
106,2020-05-07,3860723,273413,IBM,123.26,120.85
107,2020-05-08,3951001,278963,IBM,123.23,121.06
108,2020-05-09,4036224,283187,IBM,,
109,2020-05-10,4111200,286744,IBM,,
110,2020-05-11,4187831,290231,IBM,123.45,120.67
111,2020-05-12,4272321,295716,IBM,124.32,120.26
112,2020-05-13,4357301,300859,IBM,119.99,114.85
113,2020-05-14,4453532,306019,IBM,117.09,111.81
114,2020-05-15,4549264,311242,IBM,117.39,115.25
115,2020-05-16,4643703,315419,IBM,,
116,2020-05-17,4721725,318603,IBM,,
117,2020-05-18,4810892,322366,IBM,122.36,119.75
118,2020-05-19,4907667,327014,IBM,122.17,120.14
119,2020-05-20,5009545,331792,IBM,122.47,120.6
120,2020-05-21,5116189,336454,IBM,121.72,118.97
121,2020-05-22,5222610,341701,IBM,119.47,117.59
122,2020-05-23,5327415,345624,IBM,,
123,2020-05-24,5421626,348638,IBM,,
124,2020-05-25,5508342,349850,IBM,,
125,2020-05-26,5602309,354090,IBM,122.62,121.01
126,2020-05-27,5705071,359145,IBM,125.83,123.47
127,2020-05-28,5824354,363703,IBM,126.97,124.22
128,2020-05-29,5945256,368310,IBM,125.13,122.24
129,2020-05-30,6081771,372334,IBM,,
130,2020-05-31,6188179,375024,IBM,,
131,2020-06-01,6284173,378097,IBM,125.75,124.03
132,2020-06-02,6406138,382774,IBM,126.0,124.66
133,2020-06-03,6520376,388207,IBM,129.6,127.0
134,2020-06-04,6651330,393239,IBM,128.95,127.02
135,2020-06-05,6782553,397820,IBM,134.23,131.75
136,2020-06-06,6916290,401590,IBM,,
137,2020-06-07,7028653,404327,IBM,,
138,2020-06-08,7131150,408029,IBM,135.88,132.27
139,2020-06-09,7256208,412803,IBM,133.6,131.02
140,2020-06-10,7391313,417843,IBM,132.23,129.8
141,2020-06-11,7529332,422483,IBM,126.1,117.84
142,2020-06-12,7658096,426692,IBM,123.12,119.28
143,2020-06-13,7793385,430806,IBM,,
144,2020-06-14,7925669,434203,IBM,,
145,2020-06-15,8045327,437617,IBM,122.37,118.29
146,2020-06-16,8187411,444327,IBM,127.5,123.16
147,2020-06-17,8331151,449473,IBM,126.25,123.4
148,2020-06-18,8472210,454384,IBM,124.4,122.33
149,2020-06-19,8652123,460449,IBM,126.82,122.25
150,2020-06-20,8809570,464561,IBM,,
151,2020-06-21,8937270,468572,IBM,,
152,2020-06-22,9076626,472135,IBM,122.5,120.53
153,2020-06-23,9243423,477352,IBM,122.9,119.23
154,2020-06-24,9415999,482538,IBM,118.32,115.88
155,2020-06-25,9594378,487223,IBM,119.21,116.1
156,2020-06-26,9785963,491968,IBM,118.99,116.26
157,2020-06-27,9964089,496430,IBM,,
158,2020-06-28,10127955,499597,IBM,,
159,2020-06-29,10283298,503273,IBM,119.78,117.37
160,2020-06-30,10457836,508162,IBM,121.2,119.0
161,2020-07-01,10675433,513108,IBM,121.23,118.37
162,2020-07-02,10885376,518186,IBM,121.42,119.26
163,2020-07-03,11086757,523110,IBM,,
164,2020-07-04,11280564,527504,IBM,,
165,2020-07-05,11464568,530992,IBM,,
166,2020-07-06,11628530,534837,IBM,121.85,119.46
167,2020-07-07,11839880,540805,IBM,119.51,117.33
168,2020-07-08,12054030,546096,IBM,118.64,116.48
169,2020-07-09,12280848,551495,IBM,118.0,115.2
170,2020-07-10,12513506,556783,IBM,118.57,115.29
171,2020-07-11,12729970,561600,IBM,,
172,2020-07-12,12922256,565587,IBM,,
173,2020-07-13,13113693,569497,IBM,120.99,118.66
174,2020-07-14,13335857,575095,IBM,120.89,117.92
175,2020-07-15,13567312,580538,IBM,123.96,122.15
176,2020-07-16,13818613,586309,IBM,124.48,122.16
177,2020-07-17,14061343,592977,IBM,125.63,123.2
178,2020-07-18,14297523,598586,IBM,,
179,2020-07-19,14510952,602652,IBM,,
180,2020-07-20,14718060,606862,IBM,127.07,125.14
181,2020-07-21,14951708,613034,IBM,132.17,125.8
182,2020-07-22,15231573,619979,IBM,129.47,125.8
183,2020-07-23,15514415,629883,IBM,129.37,127.15
184,2020-07-24,15795467,635906,IBM,127.6459,125.5
185,2020-07-25,16049505,641457,IBM,,
186,2020-07-26,16262613,645172,IBM,,
187,2020-07-27,16489030,650349,IBM,126.32,124.71
188,2020-07-28,16741807,656625,IBM,126.34,124.15
189,2020-07-29,17033495,663245,IBM,125.99,124.07
190,2020-07-30,17313556,669290,IBM,123.9046,121.64
191,2020-07-31,17604278,675456,IBM,122.99,121.09
192,2020-08-01,17852606,680912,IBM,,
193,2020-08-02,18083600,685230,IBM,,
194,2020-08-03,18290067,689914,IBM,124.41,122.15
195,2020-08-04,18547980,696500,IBM,125.86,123.82
196,2020-08-05,18824546,703509,IBM,126.75,124.61
197,2020-08-06,19109725,709994,IBM,126.26,125.0
198,2020-08-07,19391936,716275,IBM,125.07,123.21
199,2020-08-08,19650446,721685,IBM,,
200,2020-08-09,19875123,726294,IBM,,
201,2020-08-10,20101148,731599,IBM,127.24,125.1849
202,2020-08-11,20358672,737798,IBM,130.47,126.61
203,2020-08-12,20635253,744370,IBM,127.79,125.876
204,2020-08-13,20924432,750579,IBM,126.39,124.77
205,2020-08-14,21228162,760721,IBM,125.56,123.91
206,2020-08-15,21475851,766081,IBM,,
207,2020-08-16,21690318,770337,IBM,,
208,2020-08-17,21898028,774516,IBM,125.59,124.41
209,2020-08-18,22156248,781369,IBM,125.5,124.24
210,2020-08-19,22435826,788057,IBM,125.5,123.5
211,2020-08-20,22708128,794119,IBM,124.04,122.81
212,2020-08-21,22969210,799549,IBM,123.4842,122.31
213,2020-08-22,23233461,805113,IBM,,
214,2020-08-23,23439639,809018,IBM,,
215,2020-08-24,23664985,813525,IBM,126.06,123.36
216,2020-08-25,23908742,819801,IBM,126.82,124.49
217,2020-08-26,24192659,826045,IBM,125.12,123.95
218,2020-08-27,24476359,831924,IBM,125.1,123.98
219,2020-08-28,24760091,837434,IBM,125.3,124.2187
220,2020-08-29,25023829,842755,IBM,,
221,2020-08-30,25244809,846811,IBM,,
222,2020-08-31,25507787,850988,IBM,125.25,123.03
223,2020-09-01,25772515,857403,IBM,123.95,122.15
224,2020-09-02,26055945,863493,IBM,128.7,123.575
225,2020-09-03,26337239,869172,IBM,129.95,123.65
226,2020-09-04,26651277,875033,IBM,125.35,121.24
227,2020-09-05,26921162,879993,IBM,,
228,2020-09-06,27151757,883812,IBM,,
229,2020-09-07,27369540,893186,IBM,,
230,2020-09-08,27611781,898102,IBM,122.87,120.71
231,2020-09-09,27896300,904197,IBM,123.7,121.29
232,2020-09-10,28196223,909986,IBM,123.5764,120.24
233,2020-09-11,28517464,915835,IBM,122.7,120.73
234,2020-09-12,28804057,920737,IBM,,
235,2020-09-13,29046691,924442,IBM,,
236,2020-09-14,29310392,928888,IBM,123.38,121.76
237,2020-09-15,29595774,935314,IBM,123.4,122.24
238,2020-09-16,29900126,941082,IBM,125.82,122.71
239,2020-09-17,30215065,946555,IBM,125.55,121.97
240,2020-09-18,30540848,952235,IBM,124.92,122.65
241,2020-09-19,30832930,957504,IBM,,
