,Timestamp,Total_Confirmed_Cases,Total_Deaths,Travel,High,Low
0,2020-01-22,557,17,LUV,54.28,53.46
1,2020-01-23,655,18,LUV,55.46,51.85
2,2020-01-24,941,26,LUV,56.56,54.96
3,2020-01-25,1433,42,LUV,,
4,2020-01-26,2118,56,LUV,,
5,2020-01-27,2927,82,LUV,56.66,55.15
6,2020-01-28,5578,131,LUV,57.73,56.39
7,2020-01-29,6167,133,LUV,58.1902,56.82
8,2020-01-30,8235,171,LUV,56.47,55.22
9,2020-01-31,9927,213,LUV,55.92,54.63
10,2020-02-01,12038,259,LUV,,
11,2020-02-02,16787,362,LUV,,
12,2020-02-03,19887,426,LUV,55.734,54.69
13,2020-02-04,23898,492,LUV,56.365,55.5
14,2020-02-05,27643,564,LUV,57.23,56.12
15,2020-02-06,30803,634,LUV,58.01,57.075
16,2020-02-07,34396,719,LUV,57.71,56.99
17,2020-02-08,37130,806,LUV,,
18,2020-02-09,40160,906,LUV,,
19,2020-02-10,42769,1013,LUV,57.49,56.53
20,2020-02-11,44811,1113,LUV,58.585,57.59
21,2020-02-12,45229,1118,LUV,58.655,58.0
22,2020-02-13,60382,1371,LUV,58.685,57.845
23,2020-02-14,66909,1523,LUV,58.83,57.89
24,2020-02-15,69052,1666,LUV,,
25,2020-02-16,71235,1770,LUV,,
26,2020-02-17,73270,1868,LUV,,
27,2020-02-18,75152,2008,LUV,58.34,57.38
28,2020-02-19,75652,2123,LUV,57.74,57.06
29,2020-02-20,76212,2248,LUV,57.51,56.71
30,2020-02-21,76841,2252,LUV,56.8,55.46
31,2020-02-22,78602,2459,LUV,,
32,2020-02-23,78982,2470,LUV,,
33,2020-02-24,79546,2630,LUV,54.99,53.3529
34,2020-02-25,80399,2710,LUV,54.5,49.55
35,2020-02-26,81376,2771,LUV,50.48,48.08
36,2020-02-27,82736,2814,LUV,49.2057,45.64
37,2020-02-28,84122,2873,LUV,46.77,44.98
38,2020-02-29,86013,2942,LUV,,
39,2020-03-01,88394,2996,LUV,,
