,Timestamp,Total_Confirmed_Cases,Total_Deaths,Stock,High,Low
0,2020-01-22,557,17,Silver,31.64,31.26
1,2020-01-23,655,18,Silver,31.7,31.15
2,2020-01-24,941,26,Silver,31.78,31.11
3,2020-01-25,1433,42,Silver,,
4,2020-01-26,2118,56,Silver,,
5,2020-01-27,2927,82,Silver,32.17,31.03
6,2020-01-28,5578,131,Silver,31.03,30.19
7,2020-01-29,6167,133,Silver,30.8903,30.18
8,2020-01-30,8235,171,Silver,31.1349,30.5682
9,2020-01-31,9927,213,Silver,31.32,30.67
10,2020-02-01,12038,259,Silver,,
11,2020-02-02,16787,362,Silver,,
12,2020-02-03,19887,426,Silver,30.99,30.31
13,2020-02-04,23898,492,Silver,30.29,29.75
14,2020-02-05,27643,564,Silver,30.66,30.1
15,2020-02-06,30803,634,Silver,31.25,30.7
16,2020-02-07,34396,719,Silver,31.62,30.57
17,2020-02-08,37130,806,Silver,,
18,2020-02-09,40160,906,Silver,,
19,2020-02-10,42769,1013,Silver,30.89,30.56
20,2020-02-11,44811,1113,Silver,31.1,30.63
21,2020-02-12,45229,1118,Silver,30.82,30.4
22,2020-02-13,60382,1371,Silver,30.94,30.55
23,2020-02-14,66909,1523,Silver,31.0,30.65
24,2020-02-15,69052,1666,Silver,,
25,2020-02-16,71235,1770,Silver,,
26,2020-02-17,73270,1868,Silver,,
27,2020-02-18,75152,2008,Silver,32.0,31.01
28,2020-02-19,75652,2123,Silver,32.75,32.17
29,2020-02-20,76212,2248,Silver,32.91,32.27
30,2020-02-21,76841,2252,Silver,33.12,32.77
31,2020-02-22,78602,2459,Silver,,
32,2020-02-23,78982,2470,Silver,,
33,2020-02-24,79546,2630,Silver,33.74,32.25
34,2020-02-25,80399,2710,Silver,32.86,31.75
35,2020-02-26,81376,2771,Silver,32.08,31.47
36,2020-02-27,82736,2814,Silver,32.0,29.4
37,2020-02-28,84122,2873,Silver,28.59,26.25
38,2020-02-29,86013,2942,Silver,,
39,2020-03-01,88394,2996,Silver,,
40,2020-03-02,90377,3085,Silver,28.45,27.52
41,2020-03-03,92971,3160,Silver,30.24,28.42
42,2020-03-04,95279,3255,Silver,29.82,28.9
43,2020-03-05,98090,3349,Silver,29.89,29.14
44,2020-03-06,102003,3460,Silver,29.61,28.53
45,2020-03-07,106098,3564,Silver,,
46,2020-03-08,110047,3803,Silver,,
47,2020-03-09,114219,3993,Silver,28.42,26.61
48,2020-03-10,119041,4267,Silver,27.85,26.68
49,2020-03-11,126702,4611,Silver,27.4,25.09
50,2020-03-12,132492,4917,Silver,24.49,21.03
51,2020-03-13,146876,5414,Silver,23.75,18.51
52,2020-03-14,157950,5834,Silver,,
53,2020-03-15,169219,6475,Silver,,
54,2020-03-16,184027,7153,Silver,21.84,16.0
55,2020-03-17,199970,7967,Silver,24.68,20.0
56,2020-03-18,219535,8874,Silver,23.65,20.5
57,2020-03-19,246584,9985,Silver,23.52,19.44
58,2020-03-20,277359,11470,Silver,22.72,20.75
59,2020-03-21,309350,13192,Silver,,
60,2020-03-22,344205,14877,Silver,,
61,2020-03-23,387040,16826,Silver,22.69,20.76
62,2020-03-24,428219,19116,Silver,26.79,23.82
63,2020-03-25,479220,21926,Silver,26.88,24.62
64,2020-03-26,542097,24962,Silver,27.49,25.61
65,2020-03-27,607138,28450,Silver,25.8,24.15
66,2020-03-28,674418,32180,Silver,,
67,2020-03-29,733655,35699,Silver,,
68,2020-03-30,798949,39780,Silver,25.37,23.5
69,2020-03-31,875794,44528,Silver,24.91,23.68
70,2020-04-01,958586,50527,Silver,24.14,23.14
71,2020-04-02,1041649,56414,Silver,25.07,23.8
72,2020-04-03,1125200,62574,Silver,24.77,23.71
73,2020-04-04,1183589,68490,Silver,,
74,2020-04-05,1256181,73676,Silver,,
75,2020-04-06,1329324,79614,Silver,25.73,24.24
